Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Pierre Hojbjerg,MF,Tottenham,24,1995,38,3420,38,English Premier League
Hugo Lloris,GK,Tottenham,33,1986,38,3420,38,English Premier League
Emiliano Martinez,GK,Aston Villa,27,1992,38,3420,38,English Premier League
Aaron-Ramsdale,GK,Sheffield Utd,22,1998,38,3420,38,English Premier League
Kasper Schmeichel,GK,Leicester City,33,1986,38,3420,38,English Premier League
James Ward-Prowse,MF,Southampton,25,1994,38,3420,38,English Premier League
Tomas Soucek,MF,West Ham,25,1995,38,3419,38,English Premier League
Ashley Westwood\Ashley-Westwood,MF,Burnley,30,1990,38,3410,37.9,English Premier League
Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,29,1991,38,3409,37.9,English Premier League
Matt Targett\Matt-Targett,DF,Aston Villa,24,1995,38,3404,37.8,English Premier League
Luke Ayling\Luke-Ayling,DF,Leeds United,28,1991,38,3399,37.8,English Premier League
Andrew Robertson\Andrew-Robertson,DF,Liverpool,26,1994,38,3383,37.6,English Premier League
Youri Tielemans\Youri-Tielemans,MF,Leicester City,23,1997,38,3357,37.3,English Premier League
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,33,1987,37,3330,37,English Premier League
Sam Johnstone\Sam-Johnstone,GK,West Brom,27,1993,37,3330,37,English Premier League
John McGinn\John-McGinn,MF,Aston Villa,25,1994,37,3330,37,English Premier League
Rui Patrício\Rui-Patricio,GK,Wolves,32,1988,37,3329,37,English Premier League
Ollie Watkins\Ollie-Watkins,FW,Aston Villa,24,1995,37,3328,37,English Premier League
Conor Coady\Conor-Coady,DF,Wolves,27,1993,37,3303,36.7,English Premier League
Alphonse Areola\Alphonse-Areola,GK,Fulham,27,1993,36,3240,36,English Premier League
Ederson\Ederson,GK,Manchester City,26,1993,36,3240,36,English Premier League
James Tarkowski\James-Tarkowski,DF,Burnley,27,1992,36,3240,36,English Premier League
Ezri Konsa\Ezri-Konsa,DF,Aston Villa,22,1997,36,3196,35.5,English Premier League
Tyrone Mings\Tyrone-Mings,DF,Aston Villa,27,1993,36,3194,35.5,English Premier League
Ben White\Ben-White,DFMF,Brighton,22,1997,36,3191,35.5,English Premier League
Aaron Cresswell\Aaron-Cresswell,DF,West Ham,30,1989,36,3170,35.2,English Premier League
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,35,1985,35,3150,35,English Premier League
Illan Meslier\Illan-Meslier,GK,Leeds United,20,2000,35,3150,35,English Premier League
Bernd Leno\Bernd-Leno,GK,Arsenal,28,1992,35,3131,34.8,English Premier League
Cheikhou Kouyaté\Cheikhou-Kouyate,DF,Crystal Palace,30,1989,36,3121,34.7,English Premier League
Son Heung-min\Son-Heung-min,FW,Tottenham,28,1992,37,3114,34.6,English Premier League
Yves Bissouma\Yves-Bissouma,MF,Brighton,23,1996,36,3111,34.6,English Premier League
Jan Bednarek\Jan-Bednarek,DF,Southampton,24,1996,36,3100,34.4,English Premier League
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,25,1994,37,3099,34.4,English Premier League
Harry Kane\Harry-Kane,FW,Tottenham,27,1993,35,3082,34.2,English Premier League
Mohamed Salah\Mohamed-Salah,FW,Liverpool,28,1992,37,3078,34.2,English Premier League
