Player,Team,Minute,X,Y,Outcome
Bruno Fernandes,MU,0,50.2,49.9,1
Victor Lindelöf,MU,0,38.4,39.4,1
Paul Pogba,MU,0,67.5,84.1,0
Tyrone Mings,AVL,0,22,32.1,1
Ross Barkley,AVL,0,32.8,33.9,1
Douglas Luiz,AVL,0,27.9,33.6,1
Matthew Cash,AVL,0,38.6,31.9,0
Aaron Wan-Bissaka,MU,1,30.2,0,0
Matt Targett,AVL,1,55.8,94.2,0
Scott McTominay,MU,1,27.5,9.8,1
Bruno Fernandes,MU,1,35.3,8.9,1
Scott McTominay,MU,1,32.3,23.1,1
Fred,MU,1,25.5,31,1
Luke Shaw,MU,1,39.9,49.1,1
Mason Greenwood,MU,1,47.4,75.9,1
Paul Pogba,MU,1,55.4,87.7,0
Matthew Cash,AVL,1,7.4,9.4,0
Matthew Cash,AVL,1,7.8,0,1
Bertrand Traoré,AVL,1,17.6,4.9,1
Emiliano Martínez,AVL,1,3.2,41.5,0
Harry Maguire,MU,1,29.7,93.3,0
Bertrand Traoré,AVL,1,46,7.6,1
Scott McTominay,MU,1,40.4,67,1
Victor Lindelöf,MU,2,25.6,31.6,1
Aaron Wan-Bissaka,MU,2,27.5,3.5,1
Mason Greenwood,MU,2,38.4,1.4,1
Aaron Wan-Bissaka,MU,2,22.1,2.5,0
Mason Greenwood,MU,2,47.7,0,1
Aaron Wan-Bissaka,MU,2,32.7,6.1,1
Victor Lindelöf,MU,2,25.9,34,1
Harry Maguire,MU,2,47.8,57.2,1
Mason Greenwood,MU,2,98.1,25.2,0
Anwar El Ghazi,AVL,2,9.4,73.6,0
Victor Lindelöf,MU,2,28.3,41.8,1
Harry Maguire,MU,2,34.9,60.8,1
Victor Lindelöf,MU,2,30.5,33.7,1
Scott McTominay,MU,3,37.5,13.8,1
Bruno Fernandes,MU,3,60,11.7,0
Anwar El Ghazi,AVL,3,46.1,92.7,1
Fred,MU,3,38,27.7,1
Paul Pogba,MU,3,42,35.5,1
Victor Lindelöf,MU,3,33.5,48.4,1
Harry Maguire,MU,3,44.6,84.7,1
Luke Shaw,MU,3,46.3,95.4,1
Victor Lindelöf,MU,3,22.2,58.7,1
Scott McTominay,MU,3,31.2,11.1,1
Aaron Wan-Bissaka,MU,3,42.3,2.2,1
Mason Greenwood,MU,3,43.2,13.2,1
Scott McTominay,MU,3,34.5,26.2,1
Fred,MU,3,39,36.4,1
Scott McTominay,MU,3,34.3,31.5,1
Harry Maguire,MU,3,54.3,67.2,1
Luke Shaw,MU,3,80.1,93.8,1
Paul Pogba,MU,3,77.5,85.1,1
Mason Greenwood,MU,4,96.2,40.6,0
Aaron Wan-Bissaka,MU,4,66.7,23.6,0
Ross Barkley,AVL,4,26.4,66.9,0
Aaron Wan-Bissaka,MU,4,63.9,24.1,1
Emiliano Martínez,AVL,4,13,49.5,0
