player,x,y,team,outcome,minute
Bruno Fernandes,50.20,49.90,32.00,1.00,0.00
Victor Lindelöf,38.40,39.40,32.00,1.00,0.00
Paul Pogba,67.50,84.10,32.00,0.00,0.00
Tyrone Mings,22.00,32.10,24.00,1.00,0.00
Ross Barkley,32.80,33.90,24.00,1.00,0.00
Douglas Luiz,27.90,33.60,24.00,1.00,0.00
Matthew Cash,38.60,31.90,24.00,0.00,0.00
Aaron Wan-Bissaka,30.20,0.00,32.00,0.00,1.00
Matt Targett,55.80,94.20,24.00,0.00,1.00
Scott McTominay,27.50,9.80,32.00,1.00,1.00
Bruno Fernandes,35.30,8.90,32.00,1.00,1.00
Scott McTominay,32.30,23.10,32.00,1.00,1.00
Fred,25.50,31.00,32.00,1.00,1.00
Luke Shaw,39.90,49.10,32.00,1.00,1.00
Mason Greenwood,47.40,75.90,32.00,1.00,1.00
Paul Pogba,55.40,87.70,32.00,0.00,1.00
Matthew Cash,7.40,9.40,24.00,0.00,1.00
Matthew Cash,7.80,0.00,24.00,1.00,1.00
Bertrand Traoré,17.60,4.90,24.00,1.00,1.00
Emiliano Martínez,3.20,41.50,24.00,0.00,1.00
Harry Maguire,29.70,93.30,32.00,0.00,1.00
Bertrand Traoré,46.00,7.60,24.00,1.00,1.00
Scott McTominay,40.40,67.00,32.00,1.00,1.00
Victor Lindelöf,25.60,31.60,32.00,1.00,2.00
Aaron Wan-Bissaka,27.50,3.50,32.00,1.00,2.00
Mason Greenwood,38.40,1.40,32.00,1.00,2.00
Aaron Wan-Bissaka,22.10,2.50,32.00,0.00,2.00
Mason Greenwood,47.70,0.00,32.00,1.00,2.00
Aaron Wan-Bissaka,32.70,6.10,32.00,1.00,2.00
Victor Lindelöf,25.90,34.00,32.00,1.00,2.00
Harry Maguire,47.80,57.20,32.00,1.00,2.00
Mason Greenwood,98.10,25.20,32.00,0.00,2.00
Anwar El Ghazi,9.40,73.60,24.00,0.00,2.00
Victor Lindelöf,28.30,41.80,32.00,1.00,2.00
Harry Maguire,34.90,60.80,32.00,1.00,2.00
Victor Lindelöf,30.50,33.70,32.00,1.00,2.00
Scott McTominay,37.50,13.80,32.00,1.00,3.00
Bruno Fernandes,60.00,11.70,32.00,0.00,3.00
Anwar El Ghazi,46.10,92.70,24.00,1.00,3.00
Fred,38.00,27.70,32.00,1.00,3.00
Paul Pogba,42.00,35.50,32.00,1.00,3.00
Victor Lindelöf,33.50,48.40,32.00,1.00,3.00
Harry Maguire,44.60,84.70,32.00,1.00,3.00
Luke Shaw,46.30,95.40,32.00,1.00,3.00
Victor Lindelöf,22.20,58.70,32.00,1.00,3.00
Scott McTominay,31.20,11.10,32.00,1.00,3.00
Aaron Wan-Bissaka,42.30,2.20,32.00,1.00,3.00
Mason Greenwood,43.20,13.20,32.00,1.00,3.00
Scott McTominay,34.50,26.20,32.00,1.00,3.00
Fred,39.00,36.40,32.00,1.00,3.00
Scott McTominay,34.30,31.50,32.00,1.00,3.00
Harry Maguire,54.30,67.20,32.00,1.00,3.00
Luke Shaw,80.10,93.80,32.00,1.00,3.00
Paul Pogba,77.50,85.10,32.00,1.00,3.00
Mason Greenwood,96.20,40.60,32.00,0.00,4.00
Aaron Wan-Bissaka,66.70,23.60,32.00,0.00,4.00
Ross Barkley,26.40,66.90,24.00,0.00,4.00
Aaron Wan-Bissaka,63.90,24.10,32.00,1.00,4.00
Emiliano Martínez,13.00,49.50,24.00,0.00,4.00
Victor Lindelöf,34.10,31.10,32.00,1.00,4.00
Scott McTominay,32.90,40.30,32.00,1.00,4.00
Luke Shaw,33.90,73.50,32.00,1.00,4.00
Fred,47.40,50.30,32.00,1.00,4.00
Bruno Fernandes,68.00,35.70,32.00,1.00,4.00
Fred,63.30,44.20,32.00,1.00,4.00
Mason Greenwood,69.00,17.30,32.00,1.00,4.00
Scott McTominay,55.50,19.40,32.00,1.00,4.00
Fred,57.70,38.50,32.00,1.00,4.00
Paul Pogba,67.90,57.50,32.00,1.00,4.00
Luke Shaw,82.00,81.20,32.00,0.00,4.00
Luke Shaw,90.80,100.00,32.00,1.00,5.00
Paul Pogba,95.00,95.40,32.00,1.00,5.00
Luke Shaw,90.70,95.70,32.00,1.00,5.00
Marcus Rashford,92.40,88.40,32.00,1.00,5.00
Fred,71.00,53.40,32.00,1.00,5.00
Bruno Fernandes,73.20,40.90,32.00,1.00,5.00
Aaron Wan-Bissaka,66.00,23.00,32.00,1.00,5.00
Mason Greenwood,83.00,16.70,32.00,1.00,5.00
Scott McTominay,70.20,23.60,32.00,1.00,5.00
Bruno Fernandes,84.70,14.60,32.00,1.00,5.00
Fred,70.80,55.70,32.00,1.00,5.00
Marcus Rashford,81.20,60.50,32.00,1.00,5.00
Paul Pogba,87.40,69.10,32.00,0.00,5.00
Emiliano Martínez,9.30,52.00,24.00,1.00,6.00
Tyrone Mings,14.70,75.80,24.00,1.00,6.00
Matt Targett,30.90,96.80,24.00,1.00,6.00
Victor Lindelöf,36.70,19.00,32.00,0.00,6.00
Matt Targett,37.20,93.10,24.00,1.00,6.00
Tyrone Mings,28.70,82.40,24.00,1.00,6.00
Douglas Luiz,46.00,35.70,24.00,1.00,6.00
Bertrand Traoré,54.90,7.60,24.00,1.00,6.00
Matthew Cash,41.80,19.40,24.00,1.00,6.00
Ezri Konsa Ngoyo,32.70,37.00,24.00,1.00,6.00
Tyrone Mings,34.50,76.10,24.00,1.00,6.00
Matt Targett,58.30,96.00,24.00,1.00,6.00
Ollie Watkins,69.00,86.90,24.00,1.00,6.00
Matt Targett,61.00,95.60,24.00,1.00,6.00
Dean Henderson,4.10,53.10,32.00,1.00,7.00
Harry Maguire,7.60,60.50,32.00,1.00,7.00
Victor Lindelöf,8.60,13.20,32.00,1.00,7.00
Aaron Wan-Bissaka,15.50,2.90,32.00,1.00,7.00
Victor Lindelöf,7.30,8.50,32.00,0.00,7.00
Matt Targett,54.30,84.40,24.00,1.00,7.00
Douglas Luiz,61.40,80.80,24.00,1.00,7.00
John McGinn,58.00,74.10,24.00,1.00,7.00
Matt Targett,54.60,93.80,24.00,0.00,7.00
Victor Lindelöf,3.90,16.70,32.00,1.00,7.00
Dean Henderson,4.50,51.30,32.00,1.00,7.00
Harry Maguire,10.70,76.90,32.00,1.00,7.00
Luke Shaw,29.00,95.90,32.00,1.00,7.00
Fred,23.70,68.20,32.00,1.00,7.00
Victor Lindelöf,20.80,33.90,32.00,1.00,7.00
Aaron Wan-Bissaka,34.10,4.00,32.00,1.00,7.00
Mason Greenwood,42.90,3.10,32.00,1.00,7.00
Aaron Wan-Bissaka,34.50,7.00,32.00,1.00,7.00
Victor Lindelöf,29.10,37.90,32.00,1.00,7.00
Harry Maguire,46.40,67.00,32.00,1.00,7.00
Victor Lindelöf,40.70,52.40,32.00,1.00,8.00
Luke Shaw,92.40,92.00,32.00,1.00,8.00
Paul Pogba,87.80,75.40,32.00,1.00,8.00
Bruno Fernandes,87.20,63.00,32.00,0.00,8.00
Emiliano Martínez,14.20,61.40,24.00,0.00,8.00
Ezri Konsa Ngoyo,11.80,29.90,24.00,1.00,8.00
Emiliano Martínez,10.20,48.70,24.00,1.00,8.00
Ezri Konsa Ngoyo,17.70,20.40,24.00,1.00,8.00
Matthew Cash,21.30,3.50,24.00,1.00,8.00
Matthew Cash,34.50,4.30,24.00,1.00,8.00
Ezri Konsa Ngoyo,22.10,18.30,24.00,1.00,9.00
Tyrone Mings,20.90,60.60,24.00,1.00,9.00
Ezri Konsa Ngoyo,26.40,34.20,24.00,1.00,9.00
Douglas Luiz,34.20,49.40,24.00,0.00,9.00
Bertrand Traoré,59.10,32.80,24.00,0.00,9.00
Fred,37.00,73.50,32.00,1.00,9.00
Luke Shaw,30.20,93.60,32.00,0.00,9.00
Ezri Konsa Ngoyo,24.50,23.70,24.00,1.00,9.00
Matthew Cash,32.00,27.00,24.00,1.00,9.00
Tyrone Mings,18.70,46.00,24.00,1.00,9.00
