,Name,Team,Age,Apps,HeightCM,WeightKG
0,Bernd Leno,Arsenal,"
                04/03/1992 (29)
              ",100,190.0,83.0
1,Arthur Okonkwo,Arsenal,"
                09/09/2001 (20)
              ",0,198.0,
2,Karl Hein,Arsenal,"
                13/04/2002 (19)
              ",0,193.0,
3,Aaron Ramsdale,Arsenal,"
                14/05/1998 (23)
              ",79,188.0,77.0
4,Kieran Tierney,Arsenal,"
                05/06/1997 (24)
              ",49,178.0,70.0
5,Gabriel MagalhÃ£es,Arsenal,"
                19/12/1997 (23)
              ",27,190.0,78.0
6,Rob Holding,Arsenal,"
                20/09/1995 (26)
              ",71,189.0,75.0
7,CÃ©dric Soares,Arsenal,"
                31/08/1991 (30)
              ",138,172.0,67.0
8,Calum Chambers,Arsenal,"
                20/01/1995 (26)
              ",151,182.0,66.0
9,Pablo MarÃ­,Arsenal,"
                31/08/1993 (28)
              ",14,193.0,87.0
10,Sead Kolasinac,Arsenal,"
                20/06/1993 (28)
              ",79,183.0,85.0
11,Nuno Tavares,Arsenal,"
                26/01/2000 (21)
              ",4,183.0,75.0
12,Ben White,Arsenal,"
                08/10/1997 (24)
              ",41,182.0,78.0
13,Takehiro Tomiyasu,Arsenal,"
                05/11/1998 (22)
              ",4,188.0,70.0
14,Bukayo Saka,Arsenal,"
                05/09/2001 (20)
              ",66,178.0,65.0
15,Thomas Partey,Arsenal,"
                13/06/1993 (28)
              ",28,185.0,77.0
16,Mohamed Elneny,Arsenal,"
                11/07/1992 (29)
              ",70,180.0,70.0
17,Emile Smith Rowe,Arsenal,"
                28/07/2000 (21)
              ",29,182.0,79.0
18,Granit Xhaka,Arsenal,"
                27/09/1992 (29)
              ",165,185.0,82.0
19,Ainsley Maitland-Niles,Arsenal,"
                29/08/1997 (24)
              ",84,177.0,71.0
20,Albert Sambi Lokonga,Arsenal,"
                22/10/1999 (21)
              ",6,173.0,67.0
21,Martin Ãdegaard,Arsenal,"
                17/12/1998 (22)
              ",19,178.0,68.0
22,Alexandre Lacazette,Arsenal,"
                28/05/1991 (30)
              ",130,175.0,73.0
23,Pierre-Emerick Aubameyang,Arsenal,"
                18/06/1989 (32)
              ",120,187.0,80.0
24,Nicolas PÃ©pÃ©,Arsenal,"
                29/05/1995 (26)
              ",65,183.0,73.0
25,Eddie Nketiah,Arsenal,"
                30/05/1999 (22)
              ",38,175.0,72.0
26,Gabriel Martinelli,Arsenal,"
                18/06/2001 (20)
              ",30,178.0,75.0
27,Folarin Balogun,Arsenal U21,"
                03/07/2001 (20)
              ",2,178.0,66.0
28,Jed Steer,Aston Villa,"
                23/09/1992 (29)
              ",100,183.0,80.0
29,Emiliano MartÃ­nez,Aston Villa,"
                02/09/1992 (29)
              ",0,195.0,88.0
30,Viljami Sinisalo,Aston Villa,"
                11/10/2001 (20)
              ",0,,
31,Matthew Cash,Aston Villa,"
                07/08/1997 (24)
              ",79,185.0,
32,Ezri Konsa,Aston Villa,"
                23/10/1997 (23)
              ",49,183.0,77.0
33,Tyrone Mings,Aston Villa,"
                13/03/1993 (28)
              ",27,196.0,77.0
34,Matt Targett,Aston Villa,"
                18/09/1995 (26)
              ",71,183.0,70.0
