,,,,,,Play,Play,Play,Play
Player,Nation,Pos,Squad,Age,Born,MP,Min▼,90s,Starts
Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,24,1995,38,3420,38.0,38
Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,33,1986,38,3420,38.0,38
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,27,1992,38,3420,38.0,38
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38,3420,38.0,38
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,33,1986,38,3420,38.0,38
James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,25,1994,38,3420,38.0,38
Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,25,1995,38,3419,38.0,38
Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30,1990,38,3410,37.9,38
Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29,1991,38,3409,37.9,38
Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,24,1995,38,3404,37.8,38
Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,28,1991,38,3399,37.8,38
Andrew Robertson\Andrew-Robertson,sct SCO,DF,Liverpool,26,1994,38,3383,37.6,38
Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,23,1997,38,3357,37.3,37
Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,33,1987,37,3330,37.0,37
Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,27,1993,37,3330,37.0,37
John McGinn\John-McGinn,sct SCO,MF,Aston Villa,25,1994,37,3330,37.0,37
Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,32,1988,37,3329,37.0,37
Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,24,1995,37,3328,37.0,37
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27,1993,37,3303,36.7,37
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,36,3240,36.0,36
Ederson\Ederson,br BRA,GK,Manchester City,26,1993,36,3240,36.0,36
James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,27,1992,36,3240,36.0,36
Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,22,1997,36,3196,35.5,35
Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,27,1993,36,3194,35.5,36
Ben White\Ben-White,eng ENG,DFMF,Brighton,22,1997,36,3191,35.5,36
Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,30,1989,36,3170,35.2,36
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35,1985,35,3150,35.0,35
Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,20,2000,35,3150,35.0,35
Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,28,1992,35,3131,34.8,35
Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,30,1989,36,3121,34.7,35
Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,28,1992,37,3114,34.6,36
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,23,1996,36,3111,34.6,35
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24,1996,36,3100,34.4,36
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,25,1994,37,3099,34.4,35
Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27,1993,35,3082,34.2,35
Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28,1992,37,3078,34.2,34
Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,20,1999,36,3069,34.1,34
Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,31,1989,34,3060,34.0,34
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34,3060,34.0,34
Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,27,1992,34,3054,33.9,34
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,26,1993,38,3050,33.9,37
Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,27,1993,34,3047,33.9,34
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,36,3031,33.7,34
Michael Keane\Michael-Keane,eng ENG,DF,Everton,27,1993,35,2991,33.2,33
Nélson Semedo\Nelson-Semedo,pt POR,DF,Wolves,26,1993,34,2983,33.1,34
Alisson\Alisson,br BRA,GK,Liverpool,27,1992,33,2970,33.0,33
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,22,1997,33,2953,32.8,33
Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,29,1990,38,2941,32.7,34
Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,24,1995,35,2932,32.6,32
Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,28,1991,33,2931,32.6,33
Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,22,1997,37,2920,32.4,33
Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,21,1999,36,2890,32.1,32
Nick Pope\Nick-Pope,eng ENG,GK,Burnley,28,1992,32,2880,32.0,32
Declan Rice\Declan-Rice,eng ENG,MF,West Ham,21,1999,32,2879,32.0,32
