PLAYER,POS,GP,GS,MP,G,A,SOG,S,Y,R
Bruno Fernandes,M,37,35,3099,18,12,40,110,6,0
Aaron Wan-Bissaka,D,34,34,3060,2,4,4,8,3,0
Harry Maguire,D,34,34,3047,2,1,9,36,11,0
Marcus Rashford,F,37,33,2920,11,9,36,79,4,0
Luke Shaw,D,32,30,2654,1,5,6,11,8,0
VictorLindelof,D,29,29,2585,1,1,1,4,0,0
Fred,M,30,27,2390,1,0,7,25,5,0
David de Gea,GK,26,26,2295,0,0,0,0,0,0
Scott McTominay,M,32,24,2129,4,1,7,26,3,0
Paul Pogba,M,26,21,1897,3,3,11,31,3,0
Mason Greenwood,F,31,21,1822,7,2,23,67,2,0
Anthony Martial,F,22,17,1480,4,3,21,43,0,1
Edinson Cavani,F,26,13,1375,10,3,15,35,4,0
Dean Henderson,GK,13,12,1125,0,0,0,0,3,0
Nemanja Matic,M,20,12,1106,0,0,3,6,2,0
Daniel James,F,15,11,910,3,1,6,17,3,0
Eric Bailly,D,12,10,916,0,0,0,2,3,0
Alex Telles,D,9,8,690,0,2,1,5,0,0
Juan Mata,M,9,6,509,1,2,3,4,0,0
Donny van de Beek,M,19,4,524,1,1,1,2,1,0
Axel Tuanzebe,D,9,4,404,0,0,0,0,2,0
Brandon Williams,D,4,2,188,0,0,1,1,0,0
Amad Diallo,F,3,2,166,0,1,1,1,0,0
Anthony Elanga,F,2,2,155,1,0,1,3,0,0
Timothy Fosu-Mensah,D,1,1,80,0,0,0,1,1,0
Shola Shoretire,F,2,0,11,0,0,0,0,0,0
Odion Ighalo,F,1,0,10,0,0,0,0,0,0
Hannibal Mejbri,M,1,0,9,0,0,0,0,0,0
William Thomas Fish,D,1,0,1,0,0,0,0,0,0
Nathan Bishop,GK,0,0,0,0,0,0,0,0,0
Lee Grant,GK,0,0,0,0,0,0,0,0,0
Jesse Lingard,M,0,0,0,0,0,0,0,0,0
