League,Season,Team,Squad,Average_Age,Foreigner,Squad_Value,Avg_Player_Value,GD,Points,Position
EPL,2008,Chelsea,28,25.6,21,363.78,12.99214286,44,83,3
EPL,2008,Man United,31,24.3,20,320.49,10.3383871,44,90,1
EPL,2008,Liverpool,28,23.9,24,229.25,8.1875,50,86,2
EPL,2008,Arsenal,38,21.3,30,225.77,5.941315789,31,72,4
EPL,2008,Spurs,35,22.5,18,191.34,5.466857143,0,52,8
EPL,2008,Man City,32,24,20,184.77,5.7740625,8,50,10
EPL,2008,Everton,28,24.4,15,146.3,5.225,18,63,5
EPL,2008,Newcastle,32,24.8,20,121.46,3.795625,-19,34,18
EPL,2008,Portsmouth,31,26.8,19,118.35,3.817741935,-19,41,14
EPL,2008,Villa,21,25.4,8,100.63,4.791904762,6,62,6
EPL,2008,Sunderland,31,24.9,21,82.15,2.65,-20,36,16
EPL,2008,Blackburn,26,26.4,21,78.08,3.003076923,-20,41,15
EPL,2008,Bolton,30,25.2,19,76.23,2.541,-12,41,13
EPL,2008,West Ham,26,24.3,15,72.5,2.788461538,-3,51,9
EPL,2008,Middlesbrough,30,22.3,13,66.29,2.209666667,-29,32,19
EPL,2008,Fulham,32,25.3,20,65.79,2.0559375,5,53,7
EPL,2008,West Brom,30,24.6,21,57.65,1.921666667,-31,32,20
EPL,2008,Wigan,25,25.7,18,55.44,2.2176,-11,45,11
EPL,2008,Stoke,29,26.6,15,44.73,1.542413793,-17,45,12
EPL,2008,Hull,27,27.3,12,34.76,1.287407407,-25,35,17
EPL,2009,Chelsea,33,25.5,24,399.51,12.10636364,71,86,1
EPL,2009,Man United,33,25,22,326.66,9.898787879,58,85,2
EPL,2009,Liverpool,30,24.4,24,302.94,10.098,26,63,7
EPL,2009,Man City,40,24.1,24,283.41,7.08525,28,67,5
EPL,2009,Arsenal,45,21.7,31,252.9,5.62,42,75,3
EPL,2009,Spurs,41,23.3,20,224.28,5.470243902,26,70,4
EPL,2009,Everton,42,23.1,23,199.4,4.747619048,11,61,8
EPL,2009,Villa,31,25.5,13,144.36,4.656774194,13,64,6
EPL,2009,Sunderland,38,24.5,26,118.53,3.119210526,-8,44,13
EPL,2009,West Ham,35,23.8,20,106.47,3.042,-19,35,17
EPL,2009,Portsmouth,45,25.4,29,89.87,1.997111111,-32,19,20
EPL,2009,Fulham,42,25.3,28,83.52,1.988571429,-7,46,12
EPL,2009,Blackburn,35,25.3,29,81.27,2.322,-14,50,10
EPL,2009,Bolton,32,25.3,18,76.79,2.3996875,-25,39,14
EPL,2009,Stoke,37,25.9,18,69.12,1.868108108,-14,46,11
EPL,2009,Hull,37,26,23,68.09,1.84027027,-41,30,19
EPL,2009,Wigan,35,25.4,27,66.51,1.900285714,-42,36,16
EPL,2009,Birmingham,36,25.5,18,57.15,1.5875,-9,50,9
EPL,2009,Wolves,37,24.1,19,53.73,1.452162162,-24,38,15
EPL,2009,Burnley,33,25,20,34.61,1.048787879,-40,30,18
EPL,2010,Chelsea,33,24.5,22,401.54,12.16787879,36,71,2
EPL,2010,Man United,43,24.1,29,345.74,8.040465116,41,80,1
EPL,2010,Man City,45,23.4,27,344.27,7.650444444,27,71,3
EPL,2010,Liverpool,42,23.5,25,328.95,7.832142857,15,58,6
EPL,2010,Arsenal,34,23.4,27,273.94,8.057058824,29,68,5
EPL,2010,Spurs,38,24.7,22,266.4,7.010526316,9,62,5
EPL,2010,Villa,39,25.1,20,186.98,4.794358974,-11,48,9
EPL,2010,Everton,32,23.9,21,160.67,5.0209375,6,64,7
EPL,2010,West Ham,39,25.1,24,143.06,3.668205128,-27,33,20
EPL,2010,Sunderland,39,23.7,20,123.59,3.168974359,-11,47,10
EPL,2010,Fulham,34,27.5,27,100.76,2.963529412,6,49,8
EPL,2010,Birmingham,34,25.8,18,92.61,2.723823529,-21,39,18
EPL,2010,Stoke,33,27,20,86.76,2.629090909,-2,46,13
EPL,2010,Newcastle,38,23.7,17,86.09,2.265526316,-1,46,12
EPL,2010,Blackburn,37,25.1,29,85.59,2.313243243,-13,43,15
EPL,2010,Bolton,34,25.4,18,84.06,2.472352941,-4,46,14
EPL,2010,West Brom,37,24.3,24,76.52,2.068108108,-15,47,11
EPL,2010,Wolves,42,23.7,24,69.12,1.645714286,-20,40,17
EPL,2010,Wigan,35,24,24,64.89,1.854,-21,42,16
EPL,2010,Blackpool,45,24.2,23,34.29,0.762,-23,39,19
EPL,2011,Chelsea,30,26.3,21,420.75,14.025,19,64,6
EPL,2011,Man City,34,24.7,22,415.62,12.22411765,64,89,1
EPL,2011,Man United,41,23.6,24,358.43,8.742195122,56,89,2
EPL,2011,Spurs,49,24.2,26,284.4,5.804081633,25,69,4
EPL,2011,Arsenal,44,23.3,34,280.28,6.37,25,70,3
