,,,,,,,SCA,SCA,SCA,SCA,SCA,SCA,SCA
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,26,1.32,22,3,1,0,0
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,22,1997,11.6,18,1.56,11,0,1,3,3
Che Adams\Che-Adams,sct SCO,FW,Southampton,24,1996,29.6,66,2.23,48,0,1,6,8
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,17,0.52,16,0,0,1,0
Adrián\Adrian,es ESP,GK,Liverpool,33,1987,3.0,0,0.00,0,0,0,0,0
Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32,1988,6.2,16,2.58,13,0,2,0,0
Ola Aina\Ola-Aina,ng NGA,DF,Fulham,23,1996,29.6,26,0.88,22,2,0,0,1
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19,2001,15.6,30,1.92,19,3,7,0,1
Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,30.9,14,0.45,11,0,2,1,0
Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25,1995,8.9,3,0.34,2,0,0,0,1
Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,71,3.66,53,5,4,1,2
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29,1991,20.6,61,2.96,51,2,3,2,1
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,19,0.76,16,0,0,3,0
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0.00,0,0,0,0,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,123,3.65,78,32,7,6,0
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,28,1992,27.3,57,2.08,49,3,0,3,2
Alisson\Alisson,br BRA,GK,Liverpool,27,1992,33.0,5,0.15,5,0,0,0,0
Allan\Allan,br BRA,MF,Everton,29,1991,22.8,38,1.67,32,0,4,1,1
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24,1996,6.9,22,3.19,18,0,0,1,2
Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26,1994,27.0,63,2.33,47,1,6,3,4
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29,1990,10.7,33,3.09,24,2,0,5,1
Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,21,1998,10.0,25,2.51,20,1,1,3,0
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25,1994,8.0,5,0.62,5,0,0,0,0
Ethan Ampadu\Ethan-Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,15,0.65,13,1,0,0,1
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24,1996,30.3,26,0.86,24,0,0,1,0
Elliot Anderson\Elliot-Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0.00,0,0,0,0,0
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27,1993,0.0,0,0.00,0,0,0,0,0
Michail Antonio\Michail-Antonio,jm JAM,FW,West Ham,30,1990,21.9,65,2.96,34,1,8,7,15
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,36.0,1,0.03,0,1,0,0,0
Stuart Armstrong\Stuart-Armstrong,sct SCO,MF,Southampton,28,1992,30.7,82,2.67,58,3,6,5,6
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,1,0.15,1,0,0,0,0
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,45,1.74,36,0,4,2,3
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,27,1992,17.8,34,1.91,23,0,4,3,1
Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31,1989,1.5,1,0.65,0,0,1,0,0
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,33,1.42,23,0,2,2,5
Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,28,1991,37.8,49,1.30,38,2,3,2,3
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,42,1.73,40,1,0,0,0
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,3,0.29,3,0,0,0,0
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,28,1991,13.3,2,0.15,2,0,0,0,0
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,27,1993,31.0,32,1.03,27,0,1,3,0
Gareth Bale\Gareth-Bale,wls WAL,FW,Tottenham,31,1989,10.2,45,4.40,24,7,8,3,2
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,26,1993,33.9,60,1.77,41,0,5,6,6
Phil Bardsley\Phil-Bardsley,sct SCO,DF,Burnley,35,1985,3.0,3,0.99,1,0,1,0,1
Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,75,4.41,43,20,9,1,2
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,26,1993,0.5,3,6.43,2,0,1,0,0
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,30,1989,14.8,36,2.43,25,0,0,5,4
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,68,3.15,44,0,8,7,8
Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29,1991,28.7,9,0.31,7,0,0,2,0
Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,22,0.77,18,0,2,0,2
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,20,2.47,13,1,4,0,2
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24,1996,34.4,14,0.41,12,1,0,1,0
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,12,2.06,10,0,1,0,1
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25,1995,23.2,41,1.77,37,1,0,2,1
Saïd Benrahma\Said-Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,55,3.56,49,0,3,1,1
Josh Benson\Josh-Benson,eng ENG,MF,Burnley,20,1999,2.9,1,0.34,1,0,0,0,0
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,38,1.88,29,0,3,2,2
Gaetano Berardi\Gaetano-Berardi,ch SUI,DF,Leeds United,31,1988,1.3,1,0.80,0,0,0,1,0
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,29,1990,15.1,27,1.78,22,1,0,1,2
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,24,1.93,20,0,2,1,0
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,33,2.46,24,1,0,2,5
Bernard\Bernard,br BRA,MFFW,Everton,27,1992,5.1,17,3.36,15,0,1,0,1
Bernardo\Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,4,1.75,2,0,0,2,0
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,30,1989,28.9,33,1.14,21,10,0,0,1
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,23,1996,34.6,52,1.50,42,0,1,2,3
Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20,2000,12.3,11,0.89,6,1,3,0,1
Willy Boly\Willy-Boly,ci CIV,DF,Wolves,29,1991,20.9,11,0.53,9,0,0,2,0
Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,78,2.74,44,11,4,10,8
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,28,1992,11.7,17,1.45,12,2,0,2,0
Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20,2000,12.5,22,1.76,16,0,0,4,2
Nathan Broadhead\Nathan-Broadhead,wls WAL,MF,Everton,22,1998,0.0,0,0.00,0,0,0,0,0
Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,24,1995,31.3,46,1.47,34,0,2,2,6
Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,26,1993,7.4,19,2.56,11,3,2,2,1
Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,5,0.45,5,0,0,0,0
Oliver Burke\Oliver-Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,28,1.99,18,0,6,2,0
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28,1992,22.9,20,0.87,19,0,0,1,0
Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0.00,0,0,0,0,0
David Button\David-Button,eng ENG,GK,West Brom,31,1989,1.0,0,0.00,0,0,0,0,0
Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0.00,0,0,0,0,0
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,38,1981,1.0,0,0.00,0,0,0,0,0
Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,12,0.60,12,0,0,0,0
Tom Cairney\Tom-Cairney,sct SCO,MF,Fulham,29,1991,8.4,35,4.15,21,8,3,1,2
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,50,1.57,31,0,2,6,9
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26,1994,25.5,71,2.78,57,5,7,1,1
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,20,2000,3.9,9,2.28,6,0,3,0,0
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,9,2.07,5,0,1,1,1
Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,34,1985,1.0,0,0.00,0,0,0,0,0
Fabio Carvalho\Fabio-Carvalho,eng ENG,MFFW,Fulham,17,2002,2.8,5,1.76,3,0,1,0,0
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,22,1997,26.4,33,1.25,25,4,2,0,1
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,33,1986,3.0,1,0.33,1,0,0,0,0
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,24,1995,26.1,41,1.57,37,2,0,0,0
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,26,1994,5.5,6,1.09,6,0,0,0,0
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,26,1993,27.5,72,2.62,48,14,3,3,2
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,34,2.23,24,0,2,4,2
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,23,1996,17.9,55,3.07,48,3,1,1,1
Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,25,1995,8.4,16,1.91,15,0,0,1,0
Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,57,2.24,36,12,1,3,4
Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,3,0.85,2,0,0,1,0
Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24,1996,15.2,9,0.59,9,0,0,0,0
Carney Chukwuemeka\Carney-Chukwuemeka,eng ENG,FWMF,Aston Villa,16,2004,0.2,0,0.00,0,0,0,0,0
Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,6,0.29,6,0,0,0,0
Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,7,0.55,5,1,0,1,0
Conor Coady\Conor-Coady,eng ENG,DF,Wolves,27,1993,36.7,9,0.25,7,0,0,1,0
Séamus Coleman\Seamus-Coleman,ie IRL,DFMF,Everton,31,1988,17.9,33,1.84,24,1,4,1,3
Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,20,2000,8.8,12,1.37,7,0,3,0,2
Liam Cooper\Liam-Cooper,sct SCO,DF,Leeds United,28,1991,24.3,14,0.58,9,0,0,3,0
Theo Corbeanu\Theo-Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,1,10.00,1,0,0,0,0
Jack Cork\Jack-Cork,eng ENG,MF,Burnley,31,1989,15.0,18,1.20,16,0,0,1,1
Hélder Costa\Helder-Costa,pt POR,MFFW,Leeds United,26,1994,12.8,21,1.63,15,0,2,1,3
Vladimír Coufal\Vladimir-Coufal,cz CZE,DF,West Ham,27,1992,33.9,71,2.09,54,11,1,2,2
Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,30,1989,35.2,96,2.73,48,41,1,4,2
Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,22,1998,0.3,0,0.00,0,0,0,0,0
Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,29,1991,37.9,74,1.95,63,2,4,3,0
Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,5,0.33,4,0,0,0,0
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,3,0.12,1,2,0,0,0
Ben Davies\Ben-Davies,wls WAL,DF,Tottenham,27,1993,15.0,17,1.14,12,0,1,0,2
Tom Davies\Tom-Davies,eng ENG,MF,Everton,22,1998,15.8,21,1.33,20,0,1,0,0
Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,15,4.87,8,0,3,2,1
Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,20,2000,0.4,1,2.73,1,0,0,0,0
Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,30,1990,21.4,8,0.37,5,1,0,1,1
Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,29,1991,22.2,142,6.40,95,24,7,4,5
Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,17,2003,0.4,0,0.00,0,0,0,0,0
Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,30,1989,3.0,3,1.02,2,1,0,0,0
Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,43,1.55,36,1,1,3,1
Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,28,1991,13.2,29,2.20,20,1,1,2,2
Amad Diallo\Amad-Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,2,1.08,2,0,0,0,0
Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,21,1999,11.3,18,1.59,15,0,0,1,1
Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,20,1.46,12,1,1,3,2
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,23,1996,26.2,109,4.16,62,26,10,4,3
Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,23,1997,31.6,21,0.66,19,0,0,1,1
Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,26,1994,28.0,16,0.57,14,0,0,1,0
Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,27,1993,29.8,70,2.35,49,17,0,2,2
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,29,1991,4.1,1,0.24,1,0,0,0,0
Issa Diop\Issa-Diop,fr FRA,DF,West Ham,23,1997,15.3,4,0.26,4,0,0,0,0
Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,22,1998,13.8,31,2.25,15,0,10,1,5
Matt Doherty\Matt-Doherty,ie IRL,DF,Tottenham,28,1992,13.8,22,1.60,18,1,1,0,2
Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Arsenal,22,1997,22.2,10,0.45,6,1,1,2,0
Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,27,1993,27.1,41,1.51,36,1,1,1,0
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,0,0.00,0,0,0,0,0
Paul Dummett\Paul-Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,5,0.36,5,0,0,0,0
Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,28,1991,32.6,19,0.58,14,1,0,4,0
Jimmy Dunne\Jimmy-Dunne,ie IRL,DF,Burnley,22,1997,3.0,3,1.00,3,0,0,0,0
Ederson\Ederson,br BRA,GK,Manchester City,26,1993,36.0,5,0.14,4,1,0,0,0
Kyle Edwards\Kyle-Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,1,0.76,1,0,0,0,0
John Egan\John-Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,13,0.45,12,0,0,0,0
Anthony Elanga\Anthony-Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,2,1.16,1,0,1,0,0
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,21,2.25,18,1,0,1,0
Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,28,1992,17.2,16,0.93,13,0,1,1,1
Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,32,1988,27.5,14,0.51,14,0,0,0,0
Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,83,2.92,48,13,10,2,8
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35,1985,35.0,1,0.03,0,1,0,0,0
Fabinho\Fabinho,br BRA,DFMF,Liverpool,26,1993,28.5,23,0.81,20,0,0,0,2
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,168,4.88,121,22,4,10,8
Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,31,1989,23.1,11,0.48,9,2,0,0,0
Fernandinho\Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,29,2.20,21,0,3,0,0
Sam Field\Sam-Field,eng ENG,MF,West Brom,22,1998,0.7,0,0.00,0,0,0,0,0
