Name,Season,Transfer_fee
Luís Figo,2000,60000000
Hernán Crespo,2000,56810000
Marc Overmars,2000,40000000
Gabriel Batistuta,2000,36150000
Nicolas Anelka,2000,34500000
Rio Ferdinand,2000,26000000
Flávio Conceicao,2000,25000000
Savo Milosevic,2000,25000000
David Trézéguet,2000,23240000
Claudio López,2000,23000000
Jimmy Floyd Hasselbaink,2000,22500000
Gerard López,2000,21600000
Lucas,2000,21300000
Pablo Aimar,2000,21250000
Wálter Samuel,2000,20800000
Shabani Nonda,2000,20000000
Robbie Keane,2000,19500000
José Mari,2000,19000000
Jonathan Zebina,2000,18400000
Émerson,2000,18000000
Tore André Flo,2000,18000000
Sergiy Rebrov,2000,18000000
Angelo Peruzzi,2000,17900000
Diego Tristán,2000,17750000
Sylvain Wiltord,2000,17500000
Fernando Redondo,2000,17500000
Jardel,2000,17050000
Nuno Gomes,2000,17000000
Sérgio Conceição,2000,17000000
Alfonso,2000,16500000
Francisco Farinós,2000,16250000
Kakhaber Kaladze,2000,16000000
Francis Jeffers,2000,15300000
Emmanuel Petit,2000,15000000
Tomás Rosicky,2000,14500000
Catanha,2000,14420000
Juan Pablo Ángel,2000,14400000
Mateja Kezman,2000,14000000
Claude Makélélé,2000,14000000
Aldo Duscher,2000,13000000
Ugo Ehiogu,2000,12200000
Jesper Grönkjaer,2000,11850000
Fabien Barthez,2000,11700000
Edmílson,2000,11000000
Stéphane Dalmat,2000,10750000
Laurén,2000,10700000
Pedro Munitis,2000,10500000
Olivier Dacourt,2000,10500000
Carl Cort,2000,10500000
Stéphane Porato,2000,10500000
Robert Pirès,2000,9800000
Émerson,2000,9600000
Chris Sutton,2000,9500000
Claudio Husaín,2000,9300000
Craig Bellamy,2000,9250000
Mark Viduka,2000,9150000
Pauleta,2000,9100000
Alpay Özalan,2000,9000000
Christian Ziege,2000,9000000
Nick Barmby,2000,9000000
Marc-Vivien Foé,2000,9000000
Lúcio,2000,8750000
Christian Karembeu,2000,8750000
Neil Lennon,2000,8630000
John Carew,2000,8500000
Mario Stanic,2000,8400000
Igor Biscan,2000,8250000
Julio Cruz,2000,8200000
Patrick Müller,2000,8000000
Zlatko Zahovic,2000,8000000
Sabri Lamouchi,2000,7850000
Willy Sagnol,2000,7700000
Johan Micoud,2000,7600000
Martín Palermo,2000,7600000
Ben Thatcher,2000,7540000
